,Title,Published_date,Views,Likes,Dislikes,Comments,Month
211,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,125807,2424,0,97,Feb
212,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,324354,17704,0,525,Feb
213,Data Science Advice for College Students,2020-02-14,68838,1963,0,197,Feb
214,Avoid These Data Science Resume Mistakes!,2020-02-10,28276,1240,0,62,Feb
215,Data Science Explained with ... Cooking?,2020-02-07,5261,314,0,48,Feb
216,The 4 Types of Sports Analytics Projects,2020-02-03,30643,1004,0,62,Feb
217,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,583,18,0,13,Jan
218,How I Learned Data Science,2020-01-27,94039,2695,0,210,Jan
219,What is Sports Analytics Really?,2020-01-20,21051,611,0,73,Jan
220,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,110800,3130,0,584,Jan
221,How To Learn Programming for Data Science [3 Steps],2020-01-13,30057,1980,0,96,Jan
222,Data Science Fundamentals: SQL Queries,2020-01-10,6391,213,0,35,Jan
223,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3134,151,0,14,Jan
224,The 9 Books That Changed My Perspective in 2019,2020-01-03,3388,179,0,25,Jan
225,The Data Science Interview: What to Expect,2019-12-30,8482,378,0,32,Dec
226,5 Data Science Resolutions for 2020,2019-12-27,474,25,0,12,Dec
227,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,16592,581,0,93,Dec
228,Collision Course: Sports Betting + Data Science,2019-12-20,17555,492,0,27,Dec
229,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100923,2937,0,204,Dec
230,5 Sports Analytics Books to Get You Started,2019-12-13,10768,410,0,59,Dec
231,Math Needed for Mastering Data Science,2019-12-09,56336,2856,0,222,Dec
232,The 5 Stages of Data Science Adoption,2019-12-06,1324,69,0,17,Dec
233,How YOU Can Land a Sports Analytics Job,2019-12-02,69038,3064,0,231,Dec
234,Data Science Fundamentals: Linear Regression,2019-11-29,6336,172,0,42,Nov
235,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1072,53,0,12,Nov
236,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,6029,271,0,26,Nov
237,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46147,1756,0,80,Nov
238,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5929,137,0,31,Nov
239,Why Selling Is An Important Data Science Skill,2019-11-04,1626,80,0,13,Nov
240,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2832,73,0,18,Oct
241,Why is Balance Important in Data Science?,2019-10-16,702,32,0,13,Oct
242,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11852,583,0,54,Sep
243,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3838,115,0,33,Sep
244,6 Habits of Successful Data Scientists,2019-09-13,2215,95,0,17,Sep
245,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4589,102,0,9,Sep
246,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,519,24,0,29,Aug
247,Is Data Science Right For You?,2019-08-18,50749,1181,0,109,Aug
248,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,14835,393,0,55,Aug
249,How To Get Data Science Experience (Without a Job),2019-08-08,29402,1387,0,77,Aug
250,Take Your Data Science Projects From Good to Great,2019-08-05,1605,107,0,11,Aug
251,The Projects You Should Do To Get A Data Science Job,2019-07-30,150253,5697,0,255,Jul
252,What Does a Data Scientist Actually Do?,2019-07-19,46051,1266,0,81,Jul
253,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12893,353,0,42,Jul
254,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,17830,527,0,61,Jul
255,Data Science: Pros and Cons,2019-06-30,5217,216,0,18,Jun
256,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,24579,1191,0,89,Jun
257,My Top 5 Data Science Internship Tips,2019-06-15,11874,495,0,23,Jun
258,Golf STATS: Strokes Gained Explained,2019-06-07,7450,154,0,28,Jun
259,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,616,45,0,5,May
260,What I Learned From My Three Degrees,2019-05-17,1259,61,0,12,May
261,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25665,1072,0,66,May
262,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1248,40,0,2,May
263,Should You Learn R for Data Science?,2019-04-25,20912,560,0,71,Apr
264,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46373,856,0,334,Apr
265,Work From Home Data Scientist: Day in the Life,2019-04-12,28079,759,0,101,Apr
266,Where to Look for Data Science Jobs,2019-03-29,3009,121,0,9,Mar
267,Data Science: Startup vs. Large Corporation,2019-03-21,2138,74,0,4,Mar
268,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6150,176,0,26,Mar
